Target,FeatureSet,Model,Feature,Importance
FutureUnemployment_3M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentRate,0.9485160845573387
FutureUnemployment_3M,Baseline_UnemploymentOnly,RandomForestRegressor,InflationUnemploymentRatio,0.010656536878184205
FutureUnemployment_3M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentLag12,0.010401835979383593
FutureUnemployment_3M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentLag1,0.0068169468770999005
FutureUnemployment_3M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentMomentum,0.0065101527519861105
FutureUnemployment_3M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentChange3M,0.0058288475772631364
FutureUnemployment_3M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentLag6,0.004284871105635936
FutureUnemployment_3M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentChange1M,0.0034837779119647697
FutureUnemployment_3M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentLag3,0.0024895863536589734
FutureUnemployment_3M,Baseline_UnemploymentOnly,RandomForestRegressor,LaborMarketShock,0.0010113600074847058
FutureUnemployment_3M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentRate,0.9472435668040362
FutureUnemployment_3M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentMomentum,0.012174193314529035
FutureUnemployment_3M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentLag12,0.010631657075070368
FutureUnemployment_3M,Baseline_UnemploymentOnly,GradientBoostingRegressor,InflationUnemploymentRatio,0.008763222465972654
FutureUnemployment_3M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentLag1,0.007822292549468346
FutureUnemployment_3M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentChange3M,0.0064743163030245195
FutureUnemployment_3M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentLag6,0.002465642494664727
FutureUnemployment_3M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentLag3,0.002128442261245259
FutureUnemployment_3M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentChange1M,0.0017439363113426671
FutureUnemployment_3M,Baseline_UnemploymentOnly,GradientBoostingRegressor,LaborMarketShock,0.000552730420646216
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,UnemploymentRate,0.9284365869116966
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,GrowthToInflationRatio,0.013378608846582781
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,GDPGrowthYoY,0.009601081071328555
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,ConsumerSentiment,0.007182302536323381
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,UnemploymentLag1,0.004747410672783028
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,ConsumerSentimentLag3,0.0029289188190915246
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,UnemploymentLag12,0.002898842875639374
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,ConsumerSentimentLag6,0.002701632192787927
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,GDPGrowthMomentum,0.002469828492587695
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,MonetaryTighteningIndex,0.0021349715988256846
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,ConsumerPriceIndex,0.0020155423889003576
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,GDPGrowthLag3,0.0017484357120437124
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,InflationLag3,0.0016757617528937866
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,InflationLag6,0.0015284745040005856
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,ConsumerConfidenceDeterioration,0.0013362474212383119
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,RealInterestRate,0.0013178278191424294
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,GrossDomesticProduct,0.0012202544816136474
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,UnemploymentLag6,0.0012185904826597564
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,FederalFundsLag6,0.0011796701761081047
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,FederalFundsLag3,0.0011627031501096593
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,GDPGrowthLag6,0.0011276116138042916
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,UnemploymentChange3M,0.0010297038127687309
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,UnemploymentMomentum,0.0009302987775982151
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,InflationRateYoY,0.0009078980868013174
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,UnemploymentChange1M,0.0007570918069777582
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,ConsumerSentimentMomentum3M,0.0007553467597268704
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,FederalFundsRate,0.0007119030585434345
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,EconomicStressIndex,0.0006620219703797577
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,InflationAcceleration,0.0006092274945604146
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,UnemploymentLag3,0.0005491179414479087
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,InflationUnemploymentRatio,0.0004673289219328193
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,PolicyPressureScore,0.00042443785990722773
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,LaborMarketShock,0.00018431998919424532
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,UnemploymentRate,0.9202724272241043
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,GrowthToInflationRatio,0.01808728365893753
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,GDPGrowthYoY,0.010711282492049017
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,ConsumerSentiment,0.007875876438634416
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,ConsumerSentimentLag3,0.007133828022776628
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,ConsumerSentimentLag6,0.005440215040001449
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,UnemploymentLag1,0.0041597670495623264
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,FederalFundsLag6,0.0031981839247947706
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,UnemploymentChange3M,0.0031381847631556706
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,ConsumerPriceIndex,0.0025184625409853723
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,InflationLag6,0.0023954447440336576
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,UnemploymentLag12,0.002292528414304143
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,FederalFundsLag3,0.0016809718798364284
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,GDPGrowthLag6,0.001617995051178816
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,GDPGrowthMomentum,0.0015746687421231747
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,GDPGrowthLag3,0.0010075342614791099
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,GrossDomesticProduct,0.0009000417655169043
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,UnemploymentLag3,0.0008136634060564329
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,ConsumerConfidenceDeterioration,0.0007672319920687767
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,MonetaryTighteningIndex,0.0006773049990169243
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,InflationUnemploymentRatio,0.0005918875622330023
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,UnemploymentLag6,0.0005430269834623991
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,InflationLag3,0.0005400183959349165
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,InflationRateYoY,0.00048267570574279456
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,PolicyPressureScore,0.00043272543779501906
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,UnemploymentChange1M,0.00029787723450840737
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,InflationAcceleration,0.0002147671728450925
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,RealInterestRate,0.00016379161835702782
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,ConsumerSentimentMomentum3M,0.0001632563793779251
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,EconomicStressIndex,0.0001296727893020136
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,FederalFundsRate,8.575225977408086e-05
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,UnemploymentMomentum,4.8580750883675095e-05
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,LaborMarketShock,4.307129916763427e-05
FutureUnemployment_6M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentRate,0.8417425657683302
FutureUnemployment_6M,Baseline_UnemploymentOnly,RandomForestRegressor,InflationUnemploymentRatio,0.04435499052282964
FutureUnemployment_6M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentLag12,0.035833142821157675
FutureUnemployment_6M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentChange3M,0.02157416546115843
FutureUnemployment_6M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentMomentum,0.019941417591016357
FutureUnemployment_6M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentLag6,0.01241866530581562
FutureUnemployment_6M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentChange1M,0.008888095441539776
FutureUnemployment_6M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentLag1,0.007674266880473133
FutureUnemployment_6M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentLag3,0.006103809690747815
FutureUnemployment_6M,Baseline_UnemploymentOnly,RandomForestRegressor,LaborMarketShock,0.001468880516931476
FutureUnemployment_6M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentRate,0.8344884600180277
FutureUnemployment_6M,Baseline_UnemploymentOnly,GradientBoostingRegressor,InflationUnemploymentRatio,0.03646393476449504
FutureUnemployment_6M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentLag12,0.03316052328817734
FutureUnemployment_6M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentChange3M,0.030048010665273413
FutureUnemployment_6M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentMomentum,0.02201216432048481
FutureUnemployment_6M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentLag1,0.01891071971685778
FutureUnemployment_6M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentLag6,0.010393334300912159
FutureUnemployment_6M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentChange1M,0.007809890351017867
FutureUnemployment_6M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentLag3,0.004638386981363113
FutureUnemployment_6M,Baseline_UnemploymentOnly,GradientBoostingRegressor,LaborMarketShock,0.002074575593390834
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,UnemploymentRate,0.7688767146124401
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,GrowthToInflationRatio,0.0547875236299406
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,ConsumerSentiment,0.04048278283249933
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,ConsumerSentimentLag6,0.019733250631163712
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,GDPGrowthYoY,0.017164108248743332
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,ConsumerSentimentLag3,0.016283015747300365
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,UnemploymentLag12,0.00870495992056503
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,InflationLag6,0.005647231956803426
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,FederalFundsLag6,0.0055906782848557275
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,RealInterestRate,0.005504373846329771
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,ConsumerPriceIndex,0.0050275625068846525
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,UnemploymentLag1,0.0037018652252178755
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,GrossDomesticProduct,0.003625988592398325
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,GDPGrowthMomentum,0.003356742199616865
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,UnemploymentLag3,0.0033370652561018994
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,UnemploymentLag6,0.003296802886991766
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,EconomicStressIndex,0.003254524317305448
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,ConsumerConfidenceDeterioration,0.003159368915425847
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,GDPGrowthLag3,0.002905002836396346
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,MonetaryTighteningIndex,0.00278001319850535
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,InflationLag3,0.002693015659486493
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,FederalFundsLag3,0.0024132336292934094
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,UnemploymentChange3M,0.002341398920766614
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,FederalFundsRate,0.0023051456012667827
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,UnemploymentMomentum,0.002072388829943338
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,InflationRateYoY,0.0020604361577596054
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,PolicyPressureScore,0.00200949886555265
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,GDPGrowthLag6,0.0019506178028284417
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,InflationUnemploymentRatio,0.0017760521224086511
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,ConsumerSentimentMomentum3M,0.001022076270615711
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,UnemploymentChange1M,0.0010034862071355032
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,InflationAcceleration,0.0008846709507835257
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,LaborMarketShock,0.000248403336673543
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,UnemploymentRate,0.7230290161120868
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,ConsumerSentimentLag6,0.06360629894493347
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,GrowthToInflationRatio,0.058268382608921435
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,ConsumerSentiment,0.03919549511425244
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,ConsumerSentimentLag3,0.019228966499940176
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,GDPGrowthYoY,0.017763033359087903
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,ConsumerPriceIndex,0.01070100647617978
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,FederalFundsLag3,0.009061058043003382
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,UnemploymentLag12,0.0074122380683495186
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,InflationLag6,0.006093812553208051
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,UnemploymentLag1,0.005024160871277965
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,GDPGrowthLag3,0.004736347357980525
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,GrossDomesticProduct,0.004507795423592359
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,RealInterestRate,0.0032221466470634683
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,ConsumerConfidenceDeterioration,0.003002327639301564
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,InflationLag3,0.002749198254062018
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,EconomicStressIndex,0.0026920892082101934
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,UnemploymentChange3M,0.002683200385281703
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,GDPGrowthMomentum,0.002639678807053825
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,FederalFundsRate,0.002027010492742917
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,MonetaryTighteningIndex,0.0018979720705097356
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,UnemploymentLag6,0.0018337878738966256
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,FederalFundsLag6,0.0018142937310081896
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,GDPGrowthLag6,0.001648124756275781
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,UnemploymentLag3,0.0013970512770015893
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,InflationUnemploymentRatio,0.0012265444802454658
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,ConsumerSentimentMomentum3M,0.0009395943247945144
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,UnemploymentChange1M,0.0007438822486930224
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,InflationAcceleration,0.00030564514965526513
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,PolicyPressureScore,0.00028193941833208125
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,UnemploymentMomentum,0.0001691937408396927
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,InflationRateYoY,9.870806221847456e-05
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,LaborMarketShock,0.0
FutureUnemployment_12M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentRate,0.580179138311382
FutureUnemployment_12M,Baseline_UnemploymentOnly,RandomForestRegressor,InflationUnemploymentRatio,0.16393622479943196
FutureUnemployment_12M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentLag12,0.10122808908240777
FutureUnemployment_12M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentChange3M,0.03303536923544942
FutureUnemployment_12M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentLag1,0.030685419558471774
FutureUnemployment_12M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentLag6,0.02923335562434337
FutureUnemployment_12M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentMomentum,0.02870976978169602
FutureUnemployment_12M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentLag3,0.01789940146951689
FutureUnemployment_12M,Baseline_UnemploymentOnly,RandomForestRegressor,UnemploymentChange1M,0.012968638140150812
FutureUnemployment_12M,Baseline_UnemploymentOnly,RandomForestRegressor,LaborMarketShock,0.0021245939971499595
FutureUnemployment_12M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentRate,0.5786048544318557
FutureUnemployment_12M,Baseline_UnemploymentOnly,GradientBoostingRegressor,InflationUnemploymentRatio,0.17193090594498303
FutureUnemployment_12M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentLag12,0.06962356746101882
FutureUnemployment_12M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentMomentum,0.050106849272610395
FutureUnemployment_12M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentChange3M,0.03796808288020916
FutureUnemployment_12M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentLag3,0.028945156515665312
FutureUnemployment_12M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentLag6,0.026573922468561377
FutureUnemployment_12M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentLag1,0.02482561400530279
FutureUnemployment_12M,Baseline_UnemploymentOnly,GradientBoostingRegressor,UnemploymentChange1M,0.009185660080723168
FutureUnemployment_12M,Baseline_UnemploymentOnly,GradientBoostingRegressor,LaborMarketShock,0.0022353869390703647
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,ConsumerSentimentLag3,0.2829452107636482
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,ConsumerSentimentLag6,0.2483873240559336
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,UnemploymentRate,0.07607053788248083
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,ConsumerSentiment,0.05775759099551217
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,EconomicStressIndex,0.048248854014419085
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,ConsumerPriceIndex,0.04194143793916306
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,GrowthToInflationRatio,0.03167354246029277
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,UnemploymentLag1,0.03162811244892752
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,GDPGrowthYoY,0.026864923851055097
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,GrossDomesticProduct,0.020552693584432555
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,RealInterestRate,0.013812947484697661
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,UnemploymentLag12,0.013465062074981262
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,FederalFundsLag6,0.013417727370259121
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,UnemploymentLag3,0.013165976618277942
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,FederalFundsRate,0.010014072195433729
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,GDPGrowthLag6,0.008864288662904164
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,FederalFundsLag3,0.007851774460396645
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,MonetaryTighteningIndex,0.006968792118692808
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,UnemploymentLag6,0.0063561115460402245
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,InflationUnemploymentRatio,0.0054891563955358205
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,PolicyPressureScore,0.0051531155720176275
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,InflationLag6,0.00498787360381235
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,ConsumerConfidenceDeterioration,0.003816080147649593
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,GDPGrowthMomentum,0.0037626494714042137
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,GDPGrowthLag3,0.0037067868306913413
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,InflationRateYoY,0.003324612116763515
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,InflationLag3,0.003109190447635371
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,ConsumerSentimentMomentum3M,0.0015433600997499296
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,UnemploymentChange3M,0.0015151348194211295
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,UnemploymentMomentum,0.0014035677565980603
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,InflationAcceleration,0.000962029193526013
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,UnemploymentChange1M,0.0007491159169120081
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,LaborMarketShock,0.0004903471007345317
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,ConsumerSentimentLag6,0.2232809552765986
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,ConsumerSentimentLag3,0.20219314397926358
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,ConsumerSentiment,0.14429030016560843
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,UnemploymentRate,0.09199944893169053
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,ConsumerPriceIndex,0.06537332576690219
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,EconomicStressIndex,0.047153786366784134
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,GrowthToInflationRatio,0.038107099607355734
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,GDPGrowthYoY,0.032483203577718396
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,UnemploymentLag1,0.031030024728926835
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,GrossDomesticProduct,0.02327225885877944
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,FederalFundsLag6,0.020022378131809057
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,RealInterestRate,0.01670092649507808
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,GDPGrowthLag6,0.00894826177407742
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,FederalFundsRate,0.008051825729739183
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,UnemploymentLag12,0.007652785905022153
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,PolicyPressureScore,0.005990290221097546
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,GDPGrowthMomentum,0.005104754387165736
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,UnemploymentLag6,0.004403276229342972
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,GDPGrowthLag3,0.004389129330634721
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,FederalFundsLag3,0.0033279814726143884
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,InflationLag3,0.002834100906954517
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,InflationLag6,0.002592842986233751
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,UnemploymentLag3,0.0022695840316820644
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,InflationUnemploymentRatio,0.001740124770158633
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,ConsumerSentimentMomentum3M,0.0015349190253977091
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,InflationRateYoY,0.0014031637746732954
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,MonetaryTighteningIndex,0.0012991322469810226
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,ConsumerConfidenceDeterioration,0.0010615832169295091
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,UnemploymentMomentum,0.0006962534636558061
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,UnemploymentChange3M,0.00043745719156169764
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,InflationAcceleration,0.00025005783912456116
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,UnemploymentChange1M,0.00010562361043823669
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,LaborMarketShock,0.0
