Target,FeatureSet,Model,TrainRows,TestRows,MAE,RMSE,R2
FutureUnemployment_3M,Baseline_UnemploymentOnly,LinearRegression,668,167,0.529010589,1.572229122,0.250400783
FutureUnemployment_3M,Baseline_UnemploymentOnly,RandomForestRegressor,668,167,0.415398996,1.309851811,0.479714429
FutureUnemployment_3M,Baseline_UnemploymentOnly,GradientBoostingRegressor,668,167,0.433891418,1.304071231,0.484296499
FutureUnemployment_3M,MacroIndicators,LinearRegression,668,167,0.616398423,1.449441463,0.362912898
FutureUnemployment_3M,MacroIndicators,RandomForestRegressor,668,167,0.487588993,1.304211242,0.484185756
FutureUnemployment_3M,MacroIndicators,GradientBoostingRegressor,668,167,0.417630692,1.267652167,0.512698601
FutureUnemployment_6M,Baseline_UnemploymentOnly,LinearRegression,665,167,0.774194363,2.023682578,-0.241887447
FutureUnemployment_6M,Baseline_UnemploymentOnly,RandomForestRegressor,665,167,0.610078582,1.545088317,0.276057508
FutureUnemployment_6M,Baseline_UnemploymentOnly,GradientBoostingRegressor,665,167,0.691079212,1.598099584,0.225529057
FutureUnemployment_6M,MacroIndicators,LinearRegression,665,167,1.256254362,1.912108746,-0.108721904
FutureUnemployment_6M,MacroIndicators,RandomForestRegressor,665,167,0.872617898,1.594080964,0.229419166
FutureUnemployment_6M,MacroIndicators,GradientBoostingRegressor,665,167,1.003467241,1.647756592,0.176651749
FutureUnemployment_12M,Baseline_UnemploymentOnly,LinearRegression,660,166,1.097205593,2.091559804,-0.341446511
FutureUnemployment_12M,Baseline_UnemploymentOnly,RandomForestRegressor,660,166,1.112754603,1.914929326,-0.124445178
FutureUnemployment_12M,Baseline_UnemploymentOnly,GradientBoostingRegressor,660,166,1.105639166,1.956703489,-0.174039814
FutureUnemployment_12M,MacroIndicators,LinearRegression,660,166,2.386264328,2.807452374,-1.416893876
FutureUnemployment_12M,MacroIndicators,RandomForestRegressor,660,166,2.152107509,2.749721821,-1.318517117
FutureUnemployment_12M,MacroIndicators,GradientBoostingRegressor,660,166,2.122245071,2.856643948,-1.502332479